weight,latitude,longitude
24,57.7194566,11.9111417
22,57.719939,11.9099158
21,57.719867,11.9096651
21,57.719939,11.9099158
20,57.7197556,11.9098912
20,57.7193347,11.9118319
20,57.7201164,11.9094305
18,57.7196338,11.9111451
18,57.7193347,11.9118319
18,57.71948,11.9118
18,57.7193237,11.9120278
17,57.7188199,11.9148473
16,57.7201164,11.9094305
16,57.71948,11.9118
36,57.7200929,11.9097291
35,57.7199417,11.9093523
35,57.7197556,11.9098912
32,57.7197556,11.9098912
44,57.7186558,11.9157724
44,57.7201878,11.9089481
44,57.719164,11.9123257
42,57.7201878,11.9089481
41,57.718821,11.9139205
41,57.7186715,11.914546
40,57.7201449,11.9091297
40,57.7186715,11.914546
40,57.7189208,11.9134634
40,57.7187399,11.9142999
57,57.7186127,11.9150161
57,57.719421,11.9129323
55,57.7193666,11.9122626
55,57.7188199,11.9148473
54,57.719939,11.9099158
54,57.7189208,11.9134634
54,57.7201164,11.9094305
52,57.7196338,11.9111451
52,57.7185585,11.915252
51,57.7201164,11.9094305
49,57.719544,11.910696
49,57.7185585,11.915252
49,57.7193347,11.9118319
48,57.7193236,11.912451
48,57.7193237,11.9120278
48,57.719544,11.910696
48,57.7196338,11.9111451
69,57.7190893,11.9126383
69,57.7189892,11.9132173
68,57.7190893,11.9126383
67,57.7197991,11.9107944
67,57.7189465,11.9136262
66,57.7189465,11.9136262
65,57.7198707,11.9105705
65,57.718799,11.9152137
64,57.7189892,11.9132173
64,57.718799,11.9152137
64,57.719939,11.9099158
64,57.7193666,11.9122626
69,57.693738,12.0022929
41,57.694042,12.004139
39,57.694042,12.004139
31,57.694272,12.0039961
23,57.694272,12.0039961
70,57.7053825,11.8435863
58,57.6987627,11.8253681
55,57.6977061,11.8260906
39,57.6943832,11.819558
37,57.6943832,11.819558
17,57.714603,12.022472
17,57.7159812,12.0226266
17,57.7151515,12.0222529
17,57.7176808,12.0225092
17,57.715551,12.0224238
16,57.7166443,12.0230961
16,57.7147273,12.0221049
21,57.7156846,12.0229046
21,57.7175209,12.0214322
21,57.7175449,12.0226744
21,57.7175449,12.0226744
20,57.7180404,12.0222076
20,57.7154219,12.0223629
20,57.715551,12.0224238
20,57.7159812,12.0226266
20,57.715033,12.0226668
20,57.7155432,12.0228553
27,57.7174158,12.0221221
26,57.7179017,12.0223619
26,57.7175603,12.021575
26,57.7174885,12.0220609
25,57.7176286,12.0222412
25,57.7179857,12.0219133
25,57.7176157,12.0226122
25,57.7179723,12.0223002
24,57.7175209,12.0214322
24,57.7180179,12.0220416
24,57.7176286,12.0222412
29,57.7176157,12.0226122
29,57.7175209,12.0214322
29,57.7178491,12.0217402
28,57.7150192,12.0222251
28,57.7174158,12.0221221
28,57.7179857,12.0219133
28,57.7174885,12.0220609
28,57.7179017,12.0223619
28,57.7180404,12.0222076
28,57.7179857,12.0219133
28,57.7164672,12.0227167
34,57.7174158,12.0221221
32,57.7175949,12.0218858
32,57.7174158,12.0221221
32,57.7176286,12.0222412
32,57.7179857,12.0219133
32,57.7180404,12.0222076
43,57.7177803,12.0218067
42,57.7177803,12.0218067
42,57.7177803,12.0218067
41,57.7174158,12.0221221
41,57.7175209,12.0214322
41,57.7179017,12.0223619
41,57.7177803,12.0218067
40,57.7151515,12.0222529
40,57.7180404,12.0222076
54,57.715245,12.022322
53,57.7154219,12.0223629
53,57.715551,12.0224238
52,57.7174158,12.0221221
52,57.715033,12.0226668
52,57.7151515,12.0222529
51,57.7162132,12.0231365
50,57.715033,12.0226668
50,57.7175966,12.0217061
50,57.7175449,12.0226744
50,57.7166443,12.0230961
50,57.7176808,12.0225092
50,57.7155432,12.0228553
50,57.7163422,12.0231972
49,57.7163422,12.0231972
48,57.7147273,12.0221049
48,57.7175603,12.021575
48,57.7179857,12.0219133
61,57.7175209,12.0214322
61,57.7174158,12.0221221
61,57.7176286,12.0222412
61,57.7164672,12.0227167
60,57.7166708,12.0225863
60,57.7175966,12.0217061
60,57.7156846,12.0229046
60,57.7174885,12.0220609
59,57.7174885,12.0220609
59,57.7149039,12.022606
59,57.7168067,12.0224591
59,57.7175603,12.021575
58,57.7156846,12.0229046
58,57.7144866,12.0222698
58,57.7178491,12.0217402
56,57.7179723,12.0223002
56,57.714603,12.022472
71,57.7159336,12.0230047
71,57.7165239,12.0231786
70,57.7180179,12.0220416
69,57.716955,12.0223201
69,57.7159336,12.0230047
68,57.7179017,12.0223619
68,57.7160718,12.0230873
67,57.7146046,12.0219775
67,57.7169037,12.022853
66,57.7169037,12.022853
65,57.7150192,12.0222251
64,57.7153835,12.0227625
64,57.7176452,12.0223674
64,57.7150192,12.0222251
64,57.7164672,12.0227167
64,57.7176452,12.0223674
64,57.7167555,12.0229919
73,57.7031998,11.9036136
71,57.7030698,11.9038372
65,57.7030698,11.9038372
60,57.7031195,11.9036693
59,57.7031195,11.9036693
56,57.7029302,11.9042408
55,57.7028992,11.9043307
55,57.7030832,11.9039754
54,57.7028992,11.9043307
51,57.7032468,11.9032771
47,57.7030832,11.9039754
44,57.7029613,11.9041512
43,57.7033151,11.9030312
42,57.7033216,11.9032422
42,57.7033056,11.903131
41,57.7033151,11.9030312
40,57.7033216,11.9032422
